accession	accession_version	strain	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution
KU320947	KU320947.1	MY/U3645/2014	2014-03-17	Asia	Malaysia			792	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320948	KU320948.1	MY/U3893/2014	2014-05-14	Asia	Malaysia			804	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320949	KU320949.1	MY/U78/2012	2012-03-07	Asia	Malaysia			889	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320950	KU320950.1	MY/U80/2012	2012-03-09	Asia	Malaysia			814	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320951	KU320951.1	MY/U134/2012	2012-03-16	Asia	Malaysia			856	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320952	KU320952.1	MY/U167/2012	2012-03-21	Asia	Malaysia			856	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320953	KU320953.1	MY/U178/2012	2012-03-23	Asia	Malaysia			865	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320954	KU320954.1	MY/U207/2012	2012-03-28	Asia	Malaysia			889	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320955	KU320955.1	MY/U288/2012	2012-04-13	Asia	Malaysia			874	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320956	KU320956.1	MY/U306/2012	2012-04-16	Asia	Malaysia			889	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
